"","activity_type","date","favorite","distance","calories","time","avg_hr","max_hr","aerobic_te","avg_run_cadence","max_run_cadence","avg_pace","best_pace","total_ascent","total_descent","avg_stride_length","avg_vertical_ratio","avg_vertical_oscillation","avg_ground_contact_time","avg_gct_balance","training_stress_score","avg_power","max_power","grit","flow","total_strokes","avg_swolf","avg_stroke_rate","total_reps","total_sets","dive_time","min_temp","surface_interval","decompression","best_lap_time","number_of_laps","max_temp","moving_time","elapsed_time","min_elevation","max_elevation"
"1","Running","2023-02-05 08:20:07","false","5.10","494","00:57:24",137,149,"2.6","160","170","11:15","8:43","112","128",0.9,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",66.2,"0:00","No","00:00:54.6",6,77,"00:57:17","00:58:15","1,085","1,132"
"2","Treadmill Running","2023-02-03 06:36:48","false","4.91","336","00:59:10",121,137,"1.2","153","221","12:03","9:09","--","--",0.89,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",68,"0:00","No","00:00:30.2",6,75.2,"00:58:37","00:59:10","--","--"
"3","Treadmill Running","2023-02-02 06:40:54","false","3.81","353","00:40:33",141,152,"2.7","162","168","10:39","10:32","--","--",0.89,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:06:49.4",4,80.6,"00:40:28","00:40:33","--","--"
"4","Treadmill Running","2023-02-01 06:40:21","false","3.07","274","00:34:51",134,149,"2.2","158","166","11:21","9:11","--","--",0.91,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",71.6,"0:00","No","00:00:59.5",4,80.6,"00:34:50","00:34:51","--","--"
"5","Treadmill Running","2023-01-30 06:33:05","false","3.09","259","00:35:26",129,153,"2.1","159","230","11:28","8:00","--","--",0.91,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:01:47.6",4,78.8,"00:35:23","00:35:26","--","--"
"6","Treadmill Running","2023-01-28 08:14:30","false","3.55","284","00:39:40",131,147,"2.1","158","173","11:11","10:12","--","--",0.85,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",69.8,"0:00","No","00:03:22.2",4,75.2,"00:39:31","00:39:40","--","--"
"7","Treadmill Running","2023-01-27 06:42:31","false","3.28","259","00:39:25",125,133,"1.2","159","164","12:01","10:34","--","--",0.91,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",73.4,"0:00","No","00:05:52.8",4,78.8,"00:39:19","00:39:25","--","--"
"8","Treadmill Running","2023-01-26 06:41:54","false","3.50","278","00:40:24",128,151,"2.0","154","227","11:32","8:00","--","--",0.89,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",71.6,"0:00","No","00:04:20.4",4,75.2,"00:40:15","00:40:24","--","--"
"9","Treadmill Running","2023-01-25 06:27:02","false","1.82","155","00:21:19",127,146,"1.8","155","222","11:43","8:52","--","--",0.87,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",71.6,"0:00","No","00:09:22.9",2,80.6,"00:21:10","00:21:19","--","--"
"10","Treadmill Running","2023-01-23 06:44:00","false","4.00","346","00:45:24",133,147,"2.2","158","208","11:21","11:11","--","--",0.85,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",73.4,"0:00","No","00:09:01.3",4,77,"00:45:18","00:45:24","--","--"
